#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,87.750,42.870,182.365,136.850,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
mirror_create,1,1,87.750,42.870,0,0,0,0,0.000000,
mirror,87.750,42.870,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,4,1,R34,10K,R0805,111.24,106.37,90,No,
comp,4,1,R35,10K,R0805,141.72,106.37,90,No,
comp,4,1,R36,10K,R0805,172.20,106.37,90,No,
comp,6,1,R37,1K,R0805,116.32,106.37,90,No,
comp,6,1,R38,1K,R0805,146.81,106.37,90,No,
comp,6,1,R39,1K,R0805,177.28,106.37,90,No,
comp,4,1,R40,10K,R0805,118.86,106.37,90,No,
comp,4,1,R41,10K,R0805,149.34,106.37,90,No,
comp,4,1,R42,10K,R0805,179.82,106.37,90,No,
comp,6,1,R43,1K,R0805,105.53,94.94,-90,No,
comp,6,1,R44,1K,R0805,100.45,94.94,-90,No,
comp,6,1,R45,1K,R0805,95.37,94.94,-90,No,
comp,6,1,R46,1K,R0805,125.85,94.94,-90,No,
comp,6,1,R47,1K,R0805,120.77,94.94,-90,No,
comp,4,1,R48,10K,R0805,102.99,94.94,-90,No,
comp,4,1,R49,10K,R0805,97.91,94.94,-90,No,
comp,4,1,R50,10K,R0805,92.83,94.94,-90,No,
comp,4,1,R51,10K,R0805,123.31,94.94,-90,No,
comp,4,1,R52,10K,R0805,118.23,94.94,-90,No,
comp,6,1,R53,1K,R0805,110.61,94.94,-90,No,
comp,6,1,R54,1K,R0805,115.69,94.94,-90,No,
comp,4,1,R55,10K,R0805,108.07,94.94,-90,No,
comp,4,1,R56,10K,R0805,113.15,94.94,-90,No,
comp,7,1,R57,0,R0805W,148.71,86.05,-90,No,
comp,4,1,R58,10K,R0805,140.07,49.60,90,No,
comp,39,1,R59,1K5,R0805,145.15,49.60,-90,No,
comp,29,1,R60,470,R0805,142.61,49.60,-90,No,
comp,4,1,R61,10K,R0805,132.45,49.60,-90,No,
comp,39,1,R62,1K5,R0805,137.53,49.60,90,No,
comp,29,1,R63,470,R0805,134.99,49.60,90,No,
comp,8,1,RESET,MOMENTARYBUTTON,SPST_NO_SMD,136.53,60.94,180,Yes,
comp,28,1,U3,SSM2305ADMSOP8_2,SOP65P490X95-8N,156.97,77.80,-90,Yes,
comp,27,1,U4,AD5141ADLFCSP3,QFN50P300X300X80-17T160N,145.53,83.51,180,Yes,
